yr,mt,ex,im,netex,NTD/USD
97,1,716245531,668674262,47571269,32.37
97,2,563286679,511794121,51492558,31.61
97,3,749468531,747886886,1581645,30.6
97,4,682282064,654606454,27675610,30.35
97,5,719972601,654281190,65691411,30.6
97,6,738945279,695447432,43497847,30.37
97,7,693783706,704707725,-10924019,30.41
97,8,776187634,777595461,-1407827,31.19
97,9,693144526,666424595,26719931,31.96
97,10,668493985,573076307,95417678,32.69
97,11,554430745,503371754,51058991,33.12
97,12,454134568,393218996,60915572,33.15
98,13,408861867,296317826,112544041,33.33
98,14,424705352,366721960,57983392,34.28
98,15,539570511,421586122,117984389,34.34
98,16,499031190,428202434,70828756,33.7
98,17,536746024,432966438,103779586,32.91
98,18,553390971,497551686,55839285,32.79
98,19,567549759,502650409,64899350,32.92
98,20,622696728,559908528,62788200,32.88
98,21,624800384,542539014,82261370,32.59
98,22,639946869,536402397,103544472,32.33
98,23,647609758,581357046,66252712,32.34
98,24,643974447,590975483,52998964,32.28
99,25,693782872,616024390,77758482,31.9
99,26,534274523,507083166,27191357,32.09
99,27,745295829,698691478,46604351,31.88
99,28,692727985,614344455,78383530,31.52
99,29,802131264,705822436,96308828,31.96
99,30,732328840,683881959,48446881,32.31
99,31,766939522,699684107,67255415,32.17
99,32,767372432,697025712,70346720,31.95
99,33,713753790,659173507,54580283,31.78
99,34,751583050,660804997,90778053,30.96
99,35,738690146,728632597,10057549,30.71
99,36,717950875,672318924,45631951,30.55
100,37,741210714,688561559,52649155,29.61
100,38,617876594,593276896,24599698,29.39
100,39,803247913,753906802,49341111,29.53
100,40,797567413,713854798,83712615,29.01
100,41,798632772,766001858,32630914,28.81
100,42,723611652,686367579,37244073,28.87
100,43,809940946,714901875,95039071,28.86
100,44,743758564,669757700,74000864,29
100,45,717891220,667440221,50450999,29.75
100,46,821291059,722154823,99136236,30.28
100,47,741710761,647318976,94391785,30.24
100,48,724851824,656825550,68026274,30.27
101,49,635655827,622278991,13376836,30.06
101,50,693863895,610747330,83116565,29.56
101,51,777187101,708982191,68204910,29.55
101,52,752192850,733476867,18715983,29.5
101,53,766383207,700528612,65854595,29.52
101,54,725767366,650023391,75743975,29.95
101,55,744161826,717242961,26918865,30.01
101,56,742072920,641219314,100853606,29.99
101,57,806275712,687200969,119074743,29.61
101,58,775005692,682285289,92720403,29.34
101,59,724675535,627918101,96757434,29.19
101,60,756721546,639553242,117168304,29.12
102,61,743168973,730803789,12365184,29.18
102,62,580274582,554742317,25532265,29.67
102,63,806331885,713864462,92467423,29.8
102,64,746683948,680508029,66175919,29.88
102,65,779474688,650504451,128970237,29.89
102,66,789299945,693113618,96186327,30.09
102,67,758271671,663454953,94816718,30.04
102,68,766455556,631131204,135324352,30.03
102,69,751977394,684346336,67631058,29.78
102,70,784773919,666074974,118698945,29.49
102,71,756460790,630646794,125813996,29.59
102,72,779631640,716425607,63206033,29.81
103,73,728696166,640038970,88657196,30.26
103,74,644316166,596790042,47526124,30.38
103,75,841007262,781673817,59333445,30.45
103,76,806341732,729131313,77210419,30.27
103,77,804432824,644992971,159439853,30.18
103,78,805178352,748235527,56942825,30.04
103,79,800848604,722548811,78299793,30
103,80,841329448,718370281,122959167,30.04
103,81,791892724,685881093,106011631,30.16
103,82,816134558,675936040,140198518,30.43
103,83,813011344,685338515,127672829,30.79
103,84,796681836,659470362,137211474,31.45
104,85,798192902,646140295,152052607,31.69
